sha256:04f4eddfc63d3944307a293f3dd0b9e8d41c109156ecd9cf0ab850dc04b0ab11,2505,98379054,1,0,library/elasticsearch
sha256:2d8a77640ea31782b75bbba2e73115e877aa77a5d0ec10389ca6740597597a2d,1600,52249333,1,34,library/mariadb
sha256:5875fae15e491884eaa1431690fccc40bbed9416721147c7d469a053730ac63d,395,8785133,2,6947537,library/plone|library/sentry
sha256:1ad47f0415915f79f17ee807eb8e6001093328181f3625ec4ed47a9d412767ad,106,13302860,1,89,library/telegraf
sha256:e6ac19b3456ad96f0e963fff45ca48b732535ecf55af9b3c688c9bdf5d387e30,55,1977859,1,3638,library/kapacitor
sha256:8ef2ee37e5f13de4a0dda0fda6dab1e97630c57fbaebe3ba8b3f7f72e756521a,1600,52249333,1,21127,library/mariadb
sha256:5cf3df64f4c1e74b0284fcdb04616fb104b34a640e69e9fe6943ab5639c5e889,21,1165480,1,2843,library/flink
sha256:29652b55913f35e46dfe21cdab929b94ad8e741a426c60a7ed5fd7297def4d83,479,5892596,1,163406799,library/redmine
sha256:e8f431905ab10e30006c9487b32819aece3a33fd5afa9eb5362f8b4a5010bde9,0,147,1,7976091,fission/php-env
sha256:f37a5d2e68a41524d0bb9f80d67a4b4a4ffde7ae1943b6aa905b257616f702e9,2816,50092959,1,34547786,library/php
sha256:2726297beaf19be957416750338c095ae15b94adc0e8c1306cebbf113f8b9a5c,122,4889685,1,44641329,library/iojs
sha256:b46c780e8953b10831fa396da158783d2da311d10bd7a6865885251a0150971a,55,1977859,1,94553765,library/kapacitor
sha256:a5b8c5578d6c122f9abde3cd9c2f603f5f8fba5ce9cc7bc5f91d6f3874f8f1e3,797,9712144,1,30,library/owncloud
sha256:dd2a5cd919302842680a966b507778ba9c000f219a1621a9b8d948c91e63db49,114,3996978,1,12649865,library/pypy
sha256:f4d255fd0d20e92ec3c45f590ec0602446631f1b7212eb695f4a512bf405cd1d,3195,39008764,1,821656,library/jenkins
sha256:2b8ca22f73dddb6d3d1e144ac1f8cff7f82ec98a124b3b2ca2805674509784c1,13,519417,1,346,library/znc
sha256:1b967311ceac2a28345dbca9ef16cc63d792557749aa114769118d89e88ab839,27,689813,1,677,library/nuxeo
sha256:bae382666908fd87a3a3646d7eb7176fa42226027d3256cac38ee0b79bdb0491,376,6169447,2,187800419,library/php-zendserver|library/couchbase
sha256:28870dac52a140188675e6e6bca33647bb876b11c4575a366350a4e828db8d5c,122,1116420,1,80749,library/php-zendserver
sha256:6f55b8eb80bd608362b4eaa8cb72cf34705d24202f3f5fa3b99d20ea80b3d2c3,400,2085341,1,530449298,library/odoo
sha256:17f83b2c2eb8ab494b7647efbd3c0c14dad96b4e5221075e3988b5a1a88894df,55,1977859,1,170,library/kapacitor
sha256:1feec893e08adbfe2dfe8ca291b8c2a188741ddf4239e917b6357ed8da3cddb2,42,2116902,1,73222,library/tomee
sha256:e9b22c5a2e804964a89a54f0c6342f8eadd1c4364024b398e73d061369f53ba4,102,2379533,1,4243,library/arangodb
sha256:a1b03cc93a8f46ea677a34dae42887a958343d4cbfb1a94b4cd9568e2f6dea9a,31,508964,1,93,library/gazebo
sha256:933531c61fa0f1bfb5b0ead0bca0bdce1a05b505f0e082f4efa46b0e7838cd02,215,5633302,1,4916842,library/nextcloud
sha256:21fbc71f60bb7708330c2369f914292a8d68d431ee3b9df08fd97149fb5325c3,17,269498,1,317613937,library/mageia
sha256:93242e2571409f6292ed14252d71385d444fae89ca6318123be281a0c6c73326,3195,39008764,1,328,library/jenkins
sha256:65382d38d15d4d182178a85ab1ce7f7939b368bede1a880cdc998b271e86e9d6,0,2428,1,766492,fission/alpinecurl
sha256:7714ce34247858cb9e07dddd918d6aab795389c9821e77e10edceaee78feee18,167,1572536,2,2620426,library/adminer|library/composer
sha256:1fbc98b7c6231e23fa413b920f98bcbddba9e5f01b69be1f9dc02295e7ebde31,243,25269445,1,274670,library/traefik
sha256:0824fe551c465a021e1f896b585bd1d6b486cc17b134846a169e48203a72d237,162,1875546,1,549,library/websphere-liberty
sha256:26dc01fbac858de9d7f2f03aa1c0bb9b1ab7b650df064f0926827bd254bfec84,2,105055,1,6370,library/known
sha256:5707cea8b6da0720439c236621151d0f349943d8f5a7bde00d7f1810c10816cc,31,508964,1,71,library/gazebo
sha256:db03407a1aba1c0a89dffe960394aae639885702e3faa65271b918c36c7905cd,1592,45742741,1,34,library/rabbitmq
sha256:8861e54ad15d9d92aecc9dea9b42f602f1ca22d88b961f9d4d0fccf4bc441f6e,13,519417,1,262,library/znc
sha256:a973c39349e45bb6f90732a319ed48c56a4c5fb41c0dded13239ff65338d661c,188,664236,1,45022186,library/r-base
sha256:6d278db1ca11d77054a28c244e2b8a3b7c534a3ab93bb1acc8138868d6e41480,70,205039,1,1624351,library/hipache
sha256:bcd7bd501ed7aaf592c54981f7255aa3dc3bba99ffc95e7a05c8358eebc2b918,797,9712144,1,1346,library/owncloud
